City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.13,83,68,10.08,SH,1698187004
1,jamestown,42.097,-79.2353,21.8,30,0,3.6,US,1698187004
2,port mathurin,-19.6833,63.4167,24.53,80,17,6.83,MU,1698187004
3,puerto natales,-51.7236,-72.4875,6.19,74,98,6.17,CL,1698187004
4,bilibino,68.0546,166.4372,-14.94,96,30,1.66,RU,1698187004
5,bengkulu,-3.8004,102.2655,23.08,93,96,1.05,ID,1698187004
6,qaqortoq,60.7167,-46.0333,1.22,53,6,2.84,GL,1698187004
7,petropavlovsk-kamchatsky,53.0452,158.6483,1.36,81,75,4.92,RU,1698187005
8,penon blanco,24.7897,-104.0369,26.08,29,83,5.8,MX,1698187005
9,waitangi,-43.9535,-176.5597,14.34,92,100,4.92,NZ,1698187005
10,la'ie,21.6477,-157.9253,31.14,61,7,2.68,US,1698187005
11,albany,42.6001,-73.9662,13.27,66,1,1.37,US,1698187005
12,chiredzi,-21.05,31.6667,26.37,45,0,1.46,ZW,1698187005
13,thompson,55.7435,-97.8558,-0.91,59,75,4.63,CA,1698187006
14,jumla,29.2747,82.1838,5.37,74,0,1.89,NP,1698187006
15,hawaiian paradise park,19.5933,-154.9731,28.73,80,40,4.12,US,1698187006
16,kirensk,57.7853,108.1119,-0.58,75,66,4.47,RU,1698187006
17,naze,28.3667,129.4833,21.51,75,14,5.47,JP,1698187006
18,ilha de mocambique,-15.0342,40.7358,24.84,83,50,6.73,MZ,1698187006
19,college,64.8569,-147.8028,-3.64,85,75,1.54,US,1698187006
20,papatowai,-46.5619,169.4708,16.71,57,21,0.72,NZ,1698187007
21,tiksi,71.6872,128.8694,-18.35,97,18,4.69,RU,1698187007
22,filadelfia,39.9523,-75.1638,17.76,58,4,1.93,US,1698187007
23,port alfred,-33.5906,26.891,12.88,90,12,1.34,ZA,1698187007
24,berdigestyakh,62.0989,126.6992,-6.73,92,96,3.05,RU,1698187007
25,bandon,51.7469,-8.7425,8.77,92,20,1.94,IE,1698187007
26,grytviken,-54.2811,-36.5092,0.86,94,82,5.22,GS,1698187008
27,adamstown,-25.066,-130.1015,22.57,81,1,4.27,PN,1698187008
28,olonkinbyen,70.9221,-8.7187,3.62,92,64,1.78,SJ,1698187008
